0;1
Josh Jackson;-1.0
Paul George;-1.0
Harry Giles;-1.0
Shai Gilgeous-Alexander;-1.0
Rudy Gobert;-1.0
Aaron Gordon;-1.0
Eric Gordon;-1.0
Devonte' Graham;-1.0
Danny Green;-1.0
Draymond Green;-1.0
Jeff Green;-1.0
Blake Griffin;-1.0
James Harden;-1.0
Montrezl Harrell;-1.0
Gary Harris;-1.0
Tobias Harris;-1.0
Willy Hernangomez;-1.0
George Hill;-1.0
Rondae Hollis-Jefferson;-1.0
Richaun Holmes;-1.0
Al Horford;-1.0
Dwight Howard;-1.0
Serge Ibaka;-1.0
Andre Iguodala;-1.0
Joe Ingles;-1.0
Kyrie Irving;-1.0
Frank Jackson;-1.0
Jaren Jackson Jr.;-1.0
Ivica Zubac;-1.0
