;epsilon;min_size;score;nb_clusters;var_portion
388;0.16000000000000003;3.0;-0.33322292089830946;17.0;0.7500000000000001
524;0.21000000000000002;3.0;-0.19690147578958564;17.0;0.8000000000000002
625;0.22000000000000003;3.0;-0.29439138910736945;17.0;0.8500000000000002
634;0.24000000000000005;3.0;-0.26032833824737156;16.0;0.8500000000000002
778;0.34;2.0;-0.25746528308959965;16.0;0.9000000000000002
185;0.14;2.0;-0.09908164207917938;16.0;0.65
550;0.25000000000000006;2.0;-0.15401631107054004;16.0;0.8000000000000002
492;0.11000000000000001;2.0;-0.3996189732571541;16.0;0.8000000000000002
302;0.19;2.0;-0.13403544535564238;16.0;0.7000000000000001
159;0.1;3.0;-0.16236982807524536;16.0;0.65
525;0.21000000000000002;4.0;-0.2278279390739069;16.0;0.8000000000000002
38;0.1;3.0;-0.16236982807524536;16.0;0.6
376;0.11000000000000001;2.0;-0.3996189732571541;16.0;0.7500000000000001
409;0.21000000000000002;4.0;-0.2278279390739069;16.0;0.7500000000000001
770;0.33;2.0;-0.24294685126047544;16.0;0.9000000000000002
434;0.25000000000000006;2.0;-0.15401631107054004;16.0;0.7500000000000001
64;0.14;2.0;-0.09908164207917938;16.0;0.6
640;0.25000000000000006;3.0;-0.23049756089196097;15.0;0.8500000000000002
785;0.35000000000000003;2.0;-0.22177993177618271;15.0;0.9000000000000002
607;0.15000000000000002;2.0;-0.4018793236350243;15.0;0.8500000000000002
555;0.26000000000000006;2.0;-0.14665939988508198;15.0;0.8000000000000002
439;0.26000000000000006;2.0;-0.14665939988508198;15.0;0.7500000000000001
308;0.2;2.0;-0.19531573864179907;15.0;0.7000000000000001
281;0.16000000000000003;3.0;-0.15429680818340932;15.0;0.7000000000000001
629;0.23000000000000004;3.0;-0.2823741661550543;15.0;0.8500000000000002
264;0.13;4.0;-0.26682251651306566;14.0;0.7000000000000001
415;0.22000000000000003;4.0;-0.20509577583036878;14.0;0.7500000000000001
269;0.14;4.0;-0.21801698915953074;14.0;0.7000000000000001
250;0.09000000000000001;3.0;-0.3245326543000641;14.0;0.7000000000000001
561;0.27;2.0;-0.19309718170613296;14.0;0.8000000000000002
675;0.30000000000000004;2.0;-0.07245373685942674;14.0;0.8500000000000002
