,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Nicolas Batum,CHO,SF,0.39015151515151514,0.8400141894288753,0.3615693267944717,0.4137931034482761,0.5465116279069767,0.2882404951370469,0.3240458015267175,0.2914764079147641,0.4488188976377953,0.37,0.36,0.44,0.27,0.32,0.2,0.21,0.14,0.38,0.29,0.49,0.38,0.17,0.47,0.05,0.3
23,Aron Baynes,PHO,C,0.4318181818181818,0.3050727208229868,0.3771734284440482,0.44827586206896575,0.12790697674418605,0.5738284703801946,0.2763358778625954,0.26636225266362257,0.3425196850393701,0.34,0.12,0.15,0.48,0.51,0.23,0.24,0.63,0.54,0.57,0.12,0.05,0.36,0.33,0.65,0.3
24,Kent Bazemore,SAC,SF-SG,0.5946969696969697,0.6246896062433487,0.25590726705305394,0.3448275862068967,0.4883720930232558,0.25110521662245805,0.3942748091603053,0.13089802130898023,0.42913385826771655,0.46,0.38,0.47,0.3,0.39,0.25,0.28,0.1,0.36,0.26,0.24,0.71,0.22,0.42,0.35,0.35
25,Kent Bazemore,SAC,SF,0.5946969696969697,0.6246896062433487,0.25590726705305394,0.3448275862068967,0.4883720930232558,0.25110521662245805,0.3942748091603053,0.13089802130898023,0.42913385826771655,0.46,0.38,0.47,0.3,0.39,0.25,0.28,0.1,0.36,0.26,0.24,0.71,0.22,0.42,0.35,0.35
26,Kent Bazemore,SAC,SG,0.5946969696969697,0.6246896062433487,0.25590726705305394,0.3448275862068967,0.4883720930232558,0.25110521662245805,0.3942748091603053,0.13089802130898023,0.42913385826771655,0.46,0.38,0.47,0.3,0.39,0.25,0.28,0.1,0.36,0.26,0.24,0.71,0.22,0.42,0.35,0.35
27,Bradley Beal,WAS,SG,0.4753787878787879,0.9503369989357929,0.6116807846633971,0.5517241379310345,0.43023255813953487,0.15649867374005308,0.7110687022900763,0.528158295281583,0.33858267716535434,0.84,0.54,0.61,0.64,0.67,0.44,0.47,0.12,0.2,0.16,0.4,0.43,0.11,0.47,0.16,0.73
28,Malik Beasley,MIN,SG,0.32765151515151514,0.3501241575026605,0.2813196611680785,0.44827586206896575,0.5813953488372093,0.15340406719717065,0.3778625954198473,0.23287671232876714,0.17913385826771655,0.58,0.6,0.67,0.33,0.38,0.12,0.13,0.08,0.21,0.15,0.15,0.43,0.06,0.21,0.14,0.45
29,Marco Belinelli,SAS,SG,0.6363636363636364,0.5125931181269954,0.2893446277307178,0.4827586206896554,0.6046511627906977,0.09018567639257295,0.38358778625954204,0.26484018264840187,0.18307086614173226,0.5,0.5,0.6,0.28,0.34,0.25,0.25,0.02,0.14,0.09,0.22,0.29,0.06,0.26,0.09,0.42
30,Jordan Bell,MEM,C-PF,0.1534090909090909,0.10783965945370695,0.39634418189924214,0.5517241379310345,0.08139534883720931,0.5101679929266136,0.18854961832061068,0.2168949771689498,0.19881889763779528,0.21,0.0,0.05,0.47,0.44,0.15,0.2,0.57,0.51,0.51,0.28,0.29,0.61,0.4,0.35,0.22
31,Jordan Bell,MEM,C,0.1534090909090909,0.10783965945370695,0.39634418189924214,0.5517241379310345,0.08139534883720931,0.5101679929266136,0.18854961832061068,0.2168949771689498,0.19881889763779528,0.21,0.0,0.05,0.47,0.44,0.15,0.2,0.57,0.51,0.51,0.28,0.29,0.61,0.4,0.35,0.22
32,Jordan Bell,MEM,PF,0.1534090909090909,0.10783965945370695,0.39634418189924214,0.5517241379310345,0.08139534883720931,0.5101679929266136,0.18854961832061068,0.2168949771689498,0.19881889763779528,0.21,0.0,0.05,0.47,0.44,0.15,0.2,0.57,0.51,0.51,0.28,0.29,0.61,0.4,0.35,0.22
33,DeAndre' Bembry,ATL,SG,0.16477272727272727,0.3884356154664774,0.1671868033883192,0.2758620689655173,0.3023255813953489,0.27939876215738285,0.24236641221374053,0.11035007610350078,0.2303149606299213,0.32,0.14,0.24,0.37,0.41,0.11,0.17,0.18,0.38,0.3,0.29,0.76,0.19,0.49,0.33,0.22
34,Dragan Bender,GSW,SF,0.19128787878787878,0.40546293011706275,0.08470798038341508,0.310344827586207,0.686046511627907,0.345711759504863,0.16297709923664122,0.12709284627092848,0.12007874015748031,0.23,0.36,0.47,0.14,0.16,0.07,0.08,0.18,0.45,0.36,0.18,0.1,0.31,0.35,0.39,0.16
35,Davis Bertans,WAS,PF,0.32575757575757575,0.36076622915927625,0.3499777084262149,0.6551724137931035,0.8488372093023255,0.226790450928382,0.25648854961832057,0.3143074581430746,0.2559055118110236,0.39,0.74,0.76,0.08,0.12,0.14,0.14,0.12,0.32,0.24,0.14,0.24,0.22,0.16,0.3,0.38
36,Patrick Beverley,LAC,PG,0.3333333333333333,0.7087619723306137,0.294694605439144,0.44827586206896575,0.6511627906976745,0.27630415561450045,0.1633587786259542,0.3554033485540335,0.3838582677165355,0.25,0.4,0.45,0.13,0.19,0.11,0.11,0.24,0.33,0.29,0.41,0.57,0.14,0.26,0.49,0.21
37,Khem Birch,ORL,C,0.07196969696969698,0.24228449804895352,0.439589835042354,0.6206896551724138,0.0,0.5450928381962865,0.10801526717557253,0.2671232876712329,0.18700787401574803,0.1,0.0,0.0,0.39,0.38,0.28,0.37,0.75,0.44,0.54,0.14,0.29,0.33,0.16,0.42,0.18
38,Bismack Biyombo,CHO,C,0.4734848484848485,0.39517559418233417,0.3687026304057066,0.5172413793103448,0.0,0.6631299734748012,0.1530534351145038,0.27397260273972607,0.38976377952755903,0.11,0.0,0.0,0.39,0.39,0.28,0.39,0.65,0.65,0.67,0.06,0.05,0.61,0.28,0.49,0.19
